title,name,text
Final Moments Continued,WEE0016-1.png:WEE0016-2.png:WEE0016-3.png:WEE0016-4.png:WEE0016-5.png,A Spekkian scout team chooses a poor parking spot.
Final Moments Continued,WEE0015-1.png:WEE0015-2.png,Something's coming.
The Castaways,castaways1.png:castaways2.png:castaways3.png:castaways4.png:castaways5.png:castaways6.png:castaways7.png:castaways8.png,Have a seat.
Read the Manual,WEE0014-1.png:WEE0014-2.png:WEE0014-3.png:WEE0014-4.png,The Spekkian's unveil their new rocket-pack.
Drive Through,drivethru.png,You want fries with that?
Hot Spot,hotspot.png,--
Where's Alvin?,WEE0013-1.png:WEE0013-2.png:WEE0013-3.png:WEE0013-4.png:WEE0013-5.png,Another Spekkian scout team falls prey to one of Earth's hideous denizens.
The News,news.png,--
Intelligence,WEE0012-1.png:WEE0012-2.png:WEE0012-3.png,Have the Spekkian's finally found intelligent life on Earth?
The Nitts,WEE0011-1.png:WEE0011-2.png:WEE0011-3.png:WEE0011-4.png:WEE0011-5.png,The envious Nittians.
"The Butt Fang, Part 3",WEE0010c-1.png:WEE0010c-2.png:WEE0010c-3.png:WEE0010c-4.png,The Spekkians fight against a formidable enemy.
"The Butt Fang, Part 2",WEE0010b-1.png:WEE0010b-2.png:WEE0010b-3.png:WEE0010b-4.png:WEE0010b-5.png:WEE0010b-6.png:WEE0010b-7.png:WEE0010b-8.png,The Spekkian scout team discovers the venomous butt-fang.
"The Butt Fang, Part 1",WEE0010a-1.png:WEE0010a-2.png:WEE0010a-3.png:WEE0010a-4.png:WEE0010a-5.png:WEE0010a-6.png:WEE0010a-7.png,A Spekkian scout team makes an unfortunate discovery.
Grass Machine,WEE0009-1.png:WEE0009-2.png:WEE0009-3.png:WEE0009-4.png:WEE0009-5.png:WEE0009-6.png,Something is coming …
Heat Ray,WEE0008-1.png:WEE0008-2.png:WEE0008-3.png:WEE0008-4.png:WEE0008-5.png,Run for your lives ….
Surveillance,WEE0007-1.png:WEE0007-2.png:WEE0007-3.png:WEE0007-4.png,A Spekkian surveillance team is assigned an easy mission.
Water Attack,WEE0006-1.png:WEE0006-2.png:WEE0006-3.png:WEE0006-4.png:WEE0006-5.png:WEE0006-6.png:WEE0006-7.png:WEE0006-8.png,A Spekkian scout mission is mysteriously attacked.
Search And Rescue 1,WEE0005-1.png:WEE0005-2.png:WEE0005-3.png:WEE0005-4.png,The planet Spekk sends its crack Search and Rescue team to retrieve one of the lost Scout Missions.
Recon Team,WEE0004-1.png:WEE0004-2.png:WEE0004-3.png:WEE0004-4.png:WEE0004-5.png:WEE0004-6.png,The planet Spekk sends a team to establish a base of operation.
Bird Food,WEE0003-1.jpeg:WEE0003-2.jpeg:WEE0003-3.jpeg,Another scouting mission sent ahead of the Spekkian invasion force.
Water Attack,WEE0002-1.png:WEE0002-2.png:WEE0002-3.png:WEE0002-4.png,Invasion by land failed. Perhaps a different approach will succeed.
A Miscalculation,WEE0001-1.png,The cartoon that launched the Wee Invaders series. The Spekkian Invasion force discovers that the conquest of Earth might not be easy.
Serves You Right,servesyouright.png,"Often, being too forward doesn't pay."
Bedtime For The Maggot,maggot.png,One person's fairy-tale is another person's poop ...
Unfortunate Invaders I,habanero.png,Inspired by a freind's discussion of hot peppers.
Late Night At The Worm Bar,wormbar.png,It must be tough being a worm.
Driving Student Bleeg,drivingstudentbleeg.png,The daughter of one of my AirTank colleagues had just gotten her driver's license. I wondered what that might be like for other galactic civilizations.
Copter Rides,copterrides.png,In honor of the first drone/copter being flown on a planet other than earth.
Snow And Mow,snowandmow.png,"Inspired by a late New Hampshire snow storm, which arrived after the grass had awakened and begun growing."
Zombie Buncha-Crunch,bunchacrunch.png,"Another cartoon for my zombie-friend, Jeff, who introduced me to the snacking experience of mixing Buncha-Crunch with popcorn."
A New Hampshire Yard,nhyard.png,If you live in New Hampshire and have been at all involved in lawn-care ... you will understand ...
Andrew's Departure,asteroidandrew.png,A cartoon done in honor of the departure of a colleague at AirTank.
Spring In NH,springinnh.png,"If you live in New Hampshire, you know how fickle early springtime weather can be."
Daylight Savings,daylightsavings.png,I do NOT handle the switch to -- or from -- daylight savings time well. This pretty much captures how I feel when the transition happens.
Zombie Saxophone Player,zombiesaxophone.png,"A running joke at AirTank is that one of my colleagues, Jeff, is a zombie. He recently received a saxophone as a gift from his wife. That event prompted this cartoon."
Valley of Lost Socks,socks.png,"One of my AirTank colleagues made a remark in Slack concerning lost socks -- actually, stolen socks, but it amounts to the same thing. This cartoon followed."
Winter in NH,storms.png,This is just how winter is in my wonderful state of New Hampshire.
Mars Rover,mars.png,"This was drawn when the Perseverance Rover landed on Mars. As I recall, there were several probes en route to Mars at the time. I figured the place was getting pretty crowded."
Hooked,fishinghooked.png,I hope this cartoon speaks for itself.
Tardis,tardis.png,"Meridith, one of our product managers (and someone I absolutely adore), inadvertently revealed that she had a time machine when she sent me an email that appeared to come from the future. It's a long story."
Hannah's Grilled Squirrel,roastsquirrel.png,"One of my work colleagues, Hannah, quipped that she kept her grill on her back porch so the squirrels where nearby when it was time to make grilled squirrel. So, ...."
Alien Invasion,alien.png,My take on the alien-invasion-gone-wrong idea.
Southerner in NE,southernersnow.png,I come from Tennessee ... so I had to do this cartoon.
A Winter Afternoon,winterafternoon.png,No explanation needed ... I hope.
Happy New Year 2021,2020.png,"A 'celebration' of the arrival of the new year, 2021."
"Merry Christmas, AirTank",airsanta.png,"I did this as a Christmas cartoon for my good friends at AirTank, Inc. It was a play on the imagery that AirTank uses on its webpage."
Covid Letter From Santa,covidelves.png,Another COVID cartoon. I think it speaks for itself.
Snowball Bear,snowbear.png,This needs no explanation.
Dungeon,dungeon.png,"Another discussion at work involved which Christmas songs could be played when, and whether ANY could be played prior to Thanksgiving."
Autumn in New Hampshire,autumninnh.png,I think this cartoon tells its own story.
Shopping Cart Car,cart.png,"One of my work colleagues, Michaela -- a fabulous person in all respects -- commited a typo in Slack when she reported that she had to take her dog to the vet in her cart ... meaning 'car'. The cartoon followed immediately."
Conan The Ant,conantheant.png,"This cartoon sprang from an article I read that said some ants decorated their nests with the heads of their defeated enemies. Sounded like something Conan would do, so ...."
Crib Monitors,crib.png,"One of my colleagues, Vlad, boasted a literal wall of monitors at his workstation. So, when he had a daughter, it seemed natural that she would follow in daddy's footsteps."
Untouched Devil Dogs,devildogs.png,"Another friendly work argument had to do with the best junk-food in what I would call the 'cupcake category'. Out of that came the revelation from some fellow workers that, if they were trapped on an island with only Devil Dogs to eat, they would starve to death."
The Flushatron,flushatron.png,"Paul, our dev-ops genius, has a script (or scripts) that had to be run to clear caches. He began referring to it as 'The Flushatron'. Obviously, it had to be a real thing..."
At The Dump,ftdump.png,"Ultimately, the Flushatron script(s) (see 'The Flushatron') were replaced with an automated mechanism. Hence, the original Flushatron was, sadly, discarded."
Avatars,avatars.png,"Another cartoon prompted by the pandemic. An intern, Craig, and I each had our own peculiar Slack avatars. I hope that explains things."
Influence,influence.png,I can't honestly recall the genesis of this cartoon. It had something to do with an advertisement that someone pointed out and that said: 'Build subs and influence people' ... which sounded weird.
Astronomy,astronomy.png,"This was done as a reaction to the ongoing pandemic, and peoples' scrambling to fill their time with new hobbies."
Alexander the Great,alexander.png,"A number of related and ongoing arguments at work involved what is and what is not a sandwich. The taco was a particularly hot target in these arguments, and one of my colleagues presented the idea that the taco had been developed so that warriors could easily carry food into battle. Whether that's true, I don't know. But that was the genesis of this cartoon."
Jeff The Zombie,jeffzombie.png,"Jeff, one of our front-end engineers -- and an excellent person -- said at one lunchtime that he needed brain food. Only zombies eat brains, so naturally ..."
Jumbotron,jumbotron.png,"There are several company in-jokes going on here. All have to do with our front-end engineer, Vlad, and his love of lots and lots of monitors. (Sadly, Vlad is no longer with the company.)"
Memo,memo.png,"Vlad, a front-end engineer -- and a super human being (sadly, no longer at AirTank) -- had acquired a USB pen drive (I think it was a pen drive) named 'Memo'. It actually had a face. And he introduced it to us as his 'friend'. Memo creeped me out just a little, so ..."
The Eternal Signal,michaelasignal.png,Another inside joke understood only by my friends at AirTank. It would take too long to explain.
Nature Walk,naturewalk.png,I think this one speaks for itself.
Farewell Jake,jake.png,"One of our front-end engineers, Jake, left the company toward the latter part of 2020. He was a good guy, and his departure was keenly felt."
No Rick,norickcar.png,"Whenever I have several days of PTO coming up, I like to provide my colleagues with a visual warning."
No More Vlad,vladsign.png,"Vlad, one of our front-end engineers, left the company in early 2021. He will be greatly missed. This was my farewell cartoon to him."
No Rick Tree,noricktree.png,"Whenever I have several days of PTO coming up, I try to warn my colleagues. I believe this one happened near Hallowe'en."
Paul Creates A Black Hole,paul.png,"Our dev-ops genius, Paul, was going on vacation, and I was convinced that the universe would collapse during his absence. So, ...."
Quarantine,quarantine.png,I did this one early on in the COVID pandemic. I think it says all it needs to say.
Mexican Sandwich Bell,vladbell.png,"Another cartoon from the taco-is-a-sandwich war, in which Vlad played a major role."
Cave Man Taco,rrk.png,Another cartoon prompted by the ongoing is-a-taco-a-sandwich question.
An Air Tank,air-tank.png,"This was an inside joke. A meme had begun circulating at work (AirTank), that one of the marketing people -- a wonderful lady, by the way -- drove her children to school in a tank."
Shoot Out Your Own Windows,shootwindows.png,"This cartoon was prompted when Jon, our COO, told us that -- here in New Hampshire -- you could shoot out your own windows. Of course, this is a play on 'shoot out'."
Radiation,vladradiation.png,Another inside joke involving Vlad and his countless displays.
Advanced Technology,zim.png,"This inside joke had to do with a caching system that our dev-ops hero, Paul, referred to as 'The Flushatron'. I guess you had to be there."
No More Fliers,votefliers.png,"I did this cartoon after the election last year, to show my relief that my mail would no longer be filled wit 'vote for __' fliers."
